Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
1897,28.3,32.3,36.4,48,60.2,64.6,70.6,69,66.8,52.2,41.8,30.6,50.1
1898,30.7,38.8,35.7,49.2,51.9,66.6,72.2,73,62.1,49,36.6,29.3,49.6
1899,31.6,18,34.1,49.1,57,65.9,69,70.4,66,50.5,47.7,35.8,49.6
1900,37,31.6,43.2,45.8,59.8,69.6,70.7,72.2,61.6,57.2,44.6,38.9,52.7
1901,36.4,29.4,40,47.1,59.5,66,75.2,71.3,61.4,53.6,47.8,35,51.9
1902,32.1,38,39.1,48.8,59.2,66.8,69.2,71.8,60.8,55,42,36.5,51.6
1903,37.4,22.8,37.1,48.3,54.5,61.2,71,70.6,61,52.9,42.8,39.8,50
1904,32.4,41.4,43.6,49.4,55.4,61.2,67.8,70.2,64.4,54.8,48.4,37.6,52.2
1905,29.4,27,44.5,46.4,52.5,66,68,72.4,66,48.6,43.9,36.2,50.1
1906,39,37.6,29.8,50.3,57.4,63,67,68.9,62.1,51.9,38.6,41.3,50.6
1907,34.2,42.8,48.2,46.8,50.8,63.8,70.2,70.6,63.9,54.2,40.9,36.8,51.9
1908,37.4,38,45.8,52.5,54.6,64,69.4,67.6,66.3,49,40,34.3,51.6
1909,37.6,35,33.9,41.9,53.8,65.2,71.2,72.3,62.2,53.9,43.8,19.9,49.2
1910,30.6,30.2,54,54.8,55.8,66.8,73.7,70.2,63.2,54.5,45.8,35.6,52.9
1911,38.6,30.8,45.6,49.2,58.1,68.9,68.6,69.3,64.4,47.6,37,34.5,51.05
1912,33.1,31.1,32,45,56,62.8,68.3,69.4,54.8,50,42.9,31.4,48.1
1913,29.3,24.1,35.3,50.9,56,67.4,64.7,71.6,58.5,47.5,45.1,26.7,48.1
1914,37.7,31.4,41.6,48.8,57.4,68.4,70.8,70,65.8,54.4,47.6,24.5,51.5
1915,30,36.3,32.8,52,54.4,63,68.2,65.2,61.6,55,44.2,33.8,49.7
1916,25.4,37,48.6,50.6,59.2,69.2,76.5,69.2,63.5,50.2,37.6,26.6,51.1
1917,29.4,34.4,32.9,45.3,50.6,68.6,76.8,71.3,65.2,50.3,47.9,39,51
1918,26.2,37.6,47.9,44.2,61.4,71,74.6,75.4,61.4,55,37.8,32.6,52.1
1919,36.4,32.4,40.5,50.3,58.5,68.5,76.9,76.2,68.4,52,35.8,33.2,52.4
1920,35.6,33.7,39,39.8,55.7,63.8,70.7,67.8,61.6,52.3,36.2,33.1,49.1
1921,34.3,37.4,45.5,46,56.8,66.2,71.6,70.4,64.3,57.2,44.4,36.2,52.5
1922,26.4,31,40.6,45.7,57.6,70.4,70.6,72.6,66.7,52.8,37.7,36.1,50.7
1923,38.2,29,33.6,47.2,55.4,66.8,70.4,67,59.8,43.6,41.8,32.3,48.8
1924,29.8,40.9,29.1,47.9,54.2,68.5,72,74,57.4,52,43.8,24.8,49.5
1925,30.5,41,44.1,51.5,58.6,65.9,73.2,68.4,63.2,41.5,40.2,32.1,50.9
1926,31.4,39,37.8,46.5,57.8,65.4,70.4,71.2,61,55.2,43,30.9,50.8
1927,36.3,38.4,37,49.3,59.2,63.4,69.4,65.4,61,54.4,44.7,26.6,50.4
1928,36.3,32.7,39.6,45.9,56.8,60.4,69.2,69,63,51.6,38.2,31.6,49.5
1929,26.5,23.3,40,47,55.6,67.4,73.6,72.3,58.6,52.6,32.6,37.5,48.9
1930,16.4,41.8,37.6,55.6,55.4,69.2,73,69.6,63,49.9,41.4,32.4,50.4
1931,35.4,38.4,37.2,48.2,55.5,70.2,74.9,71.6,66.6,54.2,38.1,34.7,52.1
1932,29.7,39.6,32.8,50.6,59.2,64.8,72.8,71.3,63.2,49.6,43.4,22.8,50
1933,36.3,29,43.6,46.2,54.8,71.8,75.4,69.4,66.5,57.4,46.4,43.8,53.4
1934,39,37.8,45.5,51.7,64.2,70.1,76.6,72.7,60.9,57.1,44.4,36.8,54.7
1935,38.7,38,43,45.7,49.4,64.8,73.2,71.3,63.2,51.3,36.6,33.8,50.8
1936,32,26.4,41.8,50,59.8,69.1,75.2,72,63.6,49.2,42.5,35.2,51.4
1937,18,32.7,37.9,47.8,58.2,63.6,72.4,73.9,65,53.2,40.4,32.6,49.6
1938,33.7,35.6,41.3,48.5,53.4,65.8,71.3,72.6,64.4,53.9,35.6,32.1,50.7
1939,34.6,25.9,41.4,48.7,59.5,66.3,73.5,68.6,63.4,51.4,41.4,39.2,51.2
1940,23.4,34.4,42.6,45.5,57.8,68.3,71.5,68.2,61.2,52.8,34.7,32.2,49.4
1941,32.1,34.7,33.9,42.6,57.7,62.2,69.2,67.2,57.2,47.6,42.2,33.9,48.4
1942,28.5,23.8,35.9,49.1,54.4,63.7,72.2,69.8,60.2,49.4,42.7,37.2,48.9
1943,33.8,39.7,35.5,54.3,52.4,65.4,73.6,72.9,61.4,52.8,41.9,34,51.5
1944,31.8,31.8,33.2,42.1,56.7,64.1,68.9,70.6,61.6,53.4,41.7,32.5,49
1945,33.6,33.4,40.6,41.4,56,60.3,70.8,70.4,58.8,54.4,42.8,31.2,49.5
1946,32.8,37.4,45.3,55,51.2,67.2,72,69.2,61.9,47.8,37,38.4,51.3
1947,32.6,31.2,36.5,46.4,55,62,74.1,75.8,69.4,57.6,34.9,37,51
1948,31,31,35.2,53.2,60.1,68.2,75.2,75,69.7,55,39.9,33.3,52.2
1949,21.9,34.1,42.1,53.3,60.4,67.7,75,73.7,66.5,51.3,53.1,37,53
1950,32.9,42.2,41.2,49.8,55.5,69.3,71.4,71.9,62,62,42.5,40.2,53.4
1951,31.5,37.9,37.5,46.7,59.3,62.4,74.9,72,63.5,51.6,40.6,31.8,50.8
1952,36,38.1,36.3,51,58.7,74.7,75.9,72.5,68.6,57.3,37.2,36.4,53.6
1953,43.5,36.8,46.1,45.2,55.3,71.9,75.8,73.6,69.8,57.6,46.1,35.5,54.8
1954,39.8,47.6,37.2,55.9,58.3,71.5,78.3,75,68,51.5,47.5,39.7,55.9
1955,31,29.9,38.4,52.8,60.6,65.1,76.6,75,66.6,57,38.9,37,52.4
1956,37.4,30.9,42.7,49.2,62,75,74.2,72,69.4,58.4,41.3,39.8,54.4
1957,27.6,42.1,40.7,43.6,55.1,67.9,75.8,73.6,63.4,52.5,40.3,44.1,52.2
1958,37,39.7,33.5,46.4,64.3,70.3,71.7,74.8,65.8,56.2,42.6,37.3,53.3
1959,32.6,31.6,40.5,47,57.1,70.6,71.9,73,60.4,49.6,40.6,39,51.2
1960,31.3,28.4,40.3,52.3,59.6,71,74.6,73.9,66.4,54.5,43.9,35.5,52.6
1961,36.9,39.9,40,48.2,58.9,67.7,72.9,72.5,57.5,52.8,37.9,30.3,51.3
1962,25.3,34.7,37.1,52.8,61.5,66.5,72.1,73.1,63.6,57.5,45.8,37.9,52.3
1963,23.5,40.9,41.2,51.9,62.4,69.9,77,71,68.3,60.1,44.1,33.3,53.6
1964,35.4,32,36.2,48.8,61,66.5,77,71.4,64.4,55.8,41.8,36.4,52.2
1965,38.4,32.7,30.8,52,58.5,66.5,73,70.7,55.9,57.9,45.7,38.5,51.7
1966,31.4,31.3,46.3,48.5,63.5,67.5,77.7,71.6,54.5,53.6,43.2,34.1,51.9
1967,36.6,37.9,46.4,51,55.4,62.2,73,70.6,63.8,55.6,41.5,28.2,51.9
1968,33.7,36.6,44.6,45.8,55.6,69.7,72.6,70,63.3,55.3,38.5,32.7,51.5
1969,36.3,36.6,34.7,53.9,61.3,62.2,75.3,74.3,66.2,41.8,41.8,36.4,51.7
1970,33.9,40.9,36.8,45.1,60.9,66,73.4,73.5,60.9,47.6,41.6,35.7,51.4
1971,34.8,32.9,40.2,47.9,54.5,69.1,71.5,72.2,58.9,50.7,41.2,32.9,50.6
1972,32.7,40.2,47.5,49.6,56.9,68.1,69.9,69,62,51.6,34,27.9,50.8
1973,29.2,34.8,38.9,43.1,55.9,67.8,70,72.7,59.4,54.9,39.6,35.2,50.1
1974,28.7,37.3,44,47.6,61.3,68,73.3,68.7,60.2,54.2,39.9,32.7,51.3
1975,33,32.8,39.3,44.7,54.8,64.3,72.1,71.2,60.8,55.1,39.3,38,50.5
