! Day# Year Month Day  MeanTemp(F) MinTemp MaxTemp  MeanTd(F) MinTd MaxTd  MeanRH MinRH MaxRH  MeanWS(mph) MaxWS  MeanPres(mb) MinPres MaxPres  Rain(inch)
  4015 2016     8   7         72.6    56.9    87.3       54.6  45.1  62.2    58.3  25.0  96.0          3.3    30           0.0 1000000.0 -1000000.0        0.02
  4016 2016     8   8         76.5    59.9    89.5       49.4  42.2  62.7    41.6  21.0  73.0          5.6    25           0.0 1000000.0 -1000000.0        0.00
  4017 2016     8   9         76.3    56.6    92.5       47.3  40.1  56.3    39.7  17.0  78.0          5.2    40           0.0 1000000.0 -1000000.0        0.02
  4018 2016     8  10         73.9    56.5    88.5       47.7  40.5  55.7    41.9  19.0  69.0          4.7    31           0.0 1000000.0 -1000000.0        0.01
  4019 2016     8  11         72.1    59.8    86.5       49.5  41.8  54.6    47.8  22.0  73.0          3.2    20           0.0 1000000.0 -1000000.0        0.00
  4020 2016     8  12         68.6    53.5    80.2       46.5  41.3  51.5    47.8  26.0  79.0          3.5    19           0.0 1000000.0 -1000000.0        0.00
  4021 2016     8  13         69.9    51.2    84.5       43.1  34.0  50.7    41.5  17.0  77.0          3.3    24           0.0 1000000.0 -1000000.0        0.00
  4022 2016     8  14         72.3    53.7    88.5       42.5  31.0  51.5    38.3  13.0  72.0          2.9    15           0.0 1000000.0 -1000000.0        0.00
  4023 2016     8  15         75.1    57.4    88.5       38.6  24.7  50.7    28.7  15.0  63.0          5.0    31           0.0 1000000.0 -1000000.0        0.00
  4024 2016     8  16         70.0    54.4    84.8       47.5  41.5  56.8    47.2  22.0  80.0          4.6    41           0.0 1000000.0 -1000000.0        0.23
  4025 2016     8  17         73.5    54.9    88.0       46.6  41.6  52.2    41.3  20.0  77.0          3.3    22           0.0 1000000.0 -1000000.0        0.00
  4026 2016     8  18         71.7    59.0    84.4       49.1  42.1  54.6    47.9  24.0  84.0          5.9    31           0.0 1000000.0 -1000000.0        0.00
  4027 2016     8  19         59.9    49.5    75.6       52.3  46.0  57.3    77.4  47.0  91.0          4.0    31           0.0 1000000.0 -1000000.0        0.19
  4028 2016     8  20         60.9    45.9    74.5       45.3  41.4  49.7    60.2  31.0  92.0          3.1    13           0.0 1000000.0 -1000000.0        0.00
